Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0348;0;0;1;1;0;
connectedComponent0349;0;0;1;1;0;
connectedComponent0350;1;1;0;1;1;
connectedComponent0351;1;1;1;1;1;
connectedComponent0352;1;1;1;1;1;
connectedComponent0353;0;0;1;1;0;
connectedComponent0354;1;1;1;1;1;
connectedComponent0355;1;1;1;1;1;
connectedComponent0356;0;0;1;1;0;
connectedComponent0357;0;0;1;1;0;
connectedComponent0358;1;1;0;0;0;
connectedComponent0359;0;0;1;1;0;
connectedComponent0360;1;0;1;0;0;
connectedComponent0361;1;1;1;0;1;
connectedComponent0362;1;0;1;1;0;
connectedComponent0363;0;0;1;1;0;
connectedComponent0364;1;0;1;1;0;
connectedComponent0365;1;1;0;0;0;
connectedComponent0366;1;0;1;1;0;
connectedComponent0367;1;1;1;1;1;
connectedComponent0368;1;0;1;1;1;
connectedComponent0369;0;0;1;1;0;
connectedComponent0370;0;0;1;1;0;
connectedComponent0371;1;0;1;1;0;
connectedComponent0372;0;0;1;1;0;
connectedComponent0373;1;0;1;1;0;
connectedComponent0374;1;0;1;1;0;
connectedComponent0375;1;1;1;1;1;
connectedComponent0376;0;0;1;1;0;
connectedComponent0377;1;0;1;0;0;
connectedComponent0378;1;0;1;1;0;
connectedComponent0379;0;0;1;1;0;
connectedComponent0380;1;0;1;0;0;
connectedComponent0381;1;0;1;1;0;
connectedComponent0382;0;0;1;1;0;
connectedComponent0383;1;1;1;1;1;
connectedComponent0384;1;1;1;1;0;
connectedComponent0385;0;0;1;1;0;
connectedComponent0386;1;1;1;1;0;
connectedComponent0387;0;0;1;1;0;
connectedComponent0388;1;0;1;1;0;
connectedComponent0389;1;1;1;1;1;
connectedComponent0390;1;0;1;1;0;
connectedComponent0391;0;0;1;1;0;
connectedComponent0392;1;0;0;0;1;
connectedComponent0393;0;0;1;1;0;
connectedComponent0394;0;1;0;0;1;
connectedComponent0395;1;1;1;1;1;
connectedComponent0396;1;1;1;1;1;
connectedComponent0397;1;1;0;0;0;
connectedComponent0398;0;0;1;1;0;
connectedComponent0399;1;0;0;0;1;
connectedComponent0400;0;1;1;1;0;
connectedComponent0401;1;1;1;1;0;
connectedComponent0402;0;0;1;1;0;
connectedComponent0403;1;0;1;1;0;
connectedComponent0404;0;0;1;1;0;
connectedComponent0405;1;1;1;1;1;
connectedComponent0406;1;1;1;1;1;
connectedComponent0407;0;0;1;1;0;
connectedComponent0408;1;0;1;1;0;
connectedComponent0409;1;0;1;1;0;
connectedComponent0410;1;1;1;1;1;
connectedComponent0411;0;1;1;1;0;
connectedComponent0412;0;0;1;1;0;
connectedComponent0413;1;0;0;0;1;
connectedComponent0414;1;1;1;1;1;
connectedComponent0415;1;0;1;1;0;
connectedComponent0416;1;0;1;1;1;
connectedComponent0417;1;0;1;1;0;
connectedComponent0418;0;0;1;1;0;
connectedComponent0419;0;0;1;1;0;
connectedComponent0420;1;1;0;0;0;
connectedComponent0421;1;0;1;1;0;
connectedComponent0422;1;1;1;1;1;
connectedComponent0423;0;0;1;1;0;
connectedComponent0424;1;1;1;1;1;
connectedComponent0425;1;1;1;1;1;
connectedComponent0426;0;0;1;1;0;
connectedComponent0427;1;1;0;0;0;
connectedComponent0428;1;1;1;1;0;
connectedComponent0429;1;1;1;1;0;
connectedComponent0430;0;1;1;1;0;
connectedComponent0431;0;0;1;1;0;
connectedComponent0432;1;1;0;0;0;
connectedComponent0433;0;0;1;1;0;
connectedComponent0434;0;0;1;1;0;
connectedComponent0435;1;0;1;1;0;
connectedComponent0436;1;0;0;0;1;
connectedComponent0437;0;0;1;1;0;
connectedComponent0438;1;1;1;1;1;
connectedComponent0439;1;0;0;0;1;
connectedComponent0440;1;1;1;1;0;
connectedComponent0441;0;0;1;1;0;
connectedComponent0442;1;1;1;1;0;
connectedComponent0443;1;1;1;1;1;
connectedComponent0444;0;0;1;1;0;
connectedComponent0445;1;0;1;1;0;
connectedComponent0446;1;0;1;1;0;
connectedComponent0447;1;1;1;1;1;
connectedComponent0448;1;1;1;1;1;
connectedComponent0449;1;1;1;1;0;
connectedComponent0450;0;1;0;1;0;
connectedComponent0451;1;0;1;0;0;
connectedComponent0452;0;0;1;1;0;
connectedComponent0453;1;1;1;1;0;
connectedComponent0454;1;1;1;1;0;
connectedComponent0455;0;1;0;1;0;
connectedComponent0456;1;0;1;1;0;
connectedComponent0457;1;1;1;0;1;
connectedComponent0458;1;1;1;1;1;
connectedComponent0459;1;0;1;1;0;
connectedComponent0460;1;1;1;1;1;
connectedComponent0461;1;0;1;0;0;
connectedComponent0462;1;1;1;1;0;
connectedComponent0463;0;1;1;1;0;
connectedComponent0464;0;0;1;1;0;
connectedComponent0465;1;1;0;0;1;
connectedComponent0466;1;1;1;1;1;
connectedComponent0467;1;1;1;1;1;
connectedComponent0468;1;0;1;1;0;
connectedComponent0469;1;1;1;1;0;
connectedComponent0470;0;0;1;1;0;
connectedComponent0471;1;1;1;1;1;
connectedComponent0472;1;0;1;1;0;
connectedComponent0473;0;0;1;1;0;
connectedComponent0474;1;1;1;1;1;
connectedComponent0475;1;1;1;1;1;
connectedComponent0476;1;1;1;1;1;
connectedComponent0477;1;1;1;1;1;
connectedComponent0478;0;0;1;1;1;
connectedComponent0479;0;0;1;1;0;
