Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0242;1;1;1;1;1;
connectedComponent0243;1;1;1;1;1;
connectedComponent0244;1;1;1;1;1;
connectedComponent0245;1;0;1;1;0;
connectedComponent0246;1;1;1;1;0;
connectedComponent0247;1;1;1;1;0;
connectedComponent0248;1;1;1;0;0;
connectedComponent0249;0;0;1;1;0;
connectedComponent0250;0;0;1;1;0;
connectedComponent0251;1;1;1;1;1;
connectedComponent0252;1;1;1;1;1;
connectedComponent0253;0;0;1;1;0;
connectedComponent0254;0;1;1;1;1;
connectedComponent0255;1;0;1;1;0;
connectedComponent0256;0;0;1;1;0;
connectedComponent0257;1;1;1;0;1;
connectedComponent0258;1;1;1;1;1;
connectedComponent0259;1;1;1;1;1;
connectedComponent0260;1;1;1;1;1;
connectedComponent0261;0;1;1;1;0;
connectedComponent0262;0;0;1;1;0;
connectedComponent0263;1;0;1;1;0;
connectedComponent0264;1;0;1;1;0;
connectedComponent0265;1;1;1;1;1;
connectedComponent0266;1;1;1;1;1;
connectedComponent0267;0;0;1;1;0;
connectedComponent0268;1;1;1;1;1;
connectedComponent0269;0;0;1;1;0;
connectedComponent0270;0;0;1;1;0;
connectedComponent0271;1;0;1;1;0;
connectedComponent0272;0;0;1;1;0;
connectedComponent0273;1;1;1;1;1;
connectedComponent0274;0;0;1;1;0;
connectedComponent0275;1;1;1;1;1;
connectedComponent0276;0;0;1;1;0;
connectedComponent0277;1;0;1;1;0;
connectedComponent0278;1;0;1;1;0;
connectedComponent0279;1;0;0;0;1;
connectedComponent0280;1;1;1;1;1;
connectedComponent0281;1;1;0;1;0;
connectedComponent0282;1;1;0;0;1;
connectedComponent0283;1;1;1;1;1;
connectedComponent0284;0;1;1;1;0;
connectedComponent0285;0;0;1;1;0;
connectedComponent0286;1;1;1;1;1;
connectedComponent0287;1;0;0;0;1;
connectedComponent0288;1;1;1;1;1;
connectedComponent0289;1;0;1;1;0;
connectedComponent0290;1;1;0;0;1;
connectedComponent0291;1;0;1;1;0;
connectedComponent0292;1;1;1;1;1;
connectedComponent0293;1;0;1;1;0;
connectedComponent0294;1;1;1;1;1;
connectedComponent0295;1;0;1;1;0;
connectedComponent0296;0;0;1;1;0;
connectedComponent0297;0;0;1;1;0;
connectedComponent0298;0;0;1;1;0;
connectedComponent0299;1;1;1;1;1;
connectedComponent0300;1;1;1;1;0;
connectedComponent0301;0;1;1;1;0;
connectedComponent0302;0;0;1;1;0;
connectedComponent0303;0;0;1;1;0;
connectedComponent0304;1;1;0;0;0;
connectedComponent0305;1;1;1;1;0;
connectedComponent0306;1;0;1;1;0;
connectedComponent0307;1;1;0;0;1;
connectedComponent0308;1;1;1;1;1;
connectedComponent0309;1;1;1;1;1;
connectedComponent0310;0;0;1;1;0;
connectedComponent0311;0;0;1;1;0;
connectedComponent0312;1;1;1;0;1;
connectedComponent0313;1;1;1;1;1;
connectedComponent0314;1;1;1;1;1;
connectedComponent0315;1;1;1;1;1;
connectedComponent0316;1;1;0;1;0;
